post_url,post_text,posted_at,likes,total_comments,pct_tech_comments,pct_engineer_comments,pct_founder_comments,pct_hr_comments,pct_negative,pct_negative_engineer,pct_toxic_burnout,pct_critical_hostile,pct_supportive,risk_level,risk_class,risk_score,risk_reasons,risk_level_full,risk_class_full,risk_score_full,risk_reasons_full,pct_negative_full,pct_negative_engineer_full,pct_toxic_burnout_full,pct_critical_hostile_full,pct_supportive_full
https://www.linkedin.com/posts/coinbase_a-new-era-of-coinbase-starts-now-exciting-activity-7407173922024079361-KCUk,A new era of Coinbase starts now. → Exciting product announcements → Key business updates → Lots of other cool stuff Watch on 𝕏: https://lnkd.in/eJawr6cB Watch on YouTube: https://lnkd.in/eqcbgnzr,2025-12-17 22:44:41,230,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.0,0.0,0.0,0.0,0.4
https://www.linkedin.com/posts/coinbase_everything-we-announced-at-the-coinbase-system-activity-7407245730391805952-rL7z,Everything we announced at the Coinbase System Update in under two minutes.,2025-12-18 03:30:02,133,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Helpful,0.0,supportive signal,Medium,Harmless,1.0,mixed/neutral,0.0,0.0,0.0,0.0,0.2857142857142857
https://www.linkedin.com/posts/coinbase_meet-coinbase-advisor-a-new-ai-powered-activity-7407240172892758017-ZF9R,"Meet Coinbase Advisor. A new AI-powered tool to help manage your financial life. Turn your questions into clear, actionable financial plans, ready to execute on Coinbase.",2025-12-18 03:07:57,34,3.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.0,0.0,0.0,0.0,1.0
https://www.linkedin.com/posts/coinbase_introducing-coinbase-tokenize-an-end-to-end-activity-7407226852798259200-OT-M,"Introducing Coinbase Tokenize, an end-to-end platform for institutions to bring assets onchain. → Fully backed → Transparent and secure → Regulatory compliant Coming soon.",2025-12-18 02:15:01,92,3.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,High,Harmful,1.5,negative>=30%,Medium,Harmless,1.0,mixed/neutral,0.2,0.0,0.0,0.0,0.4
https://www.linkedin.com/posts/coinbase_base-app-is-now-live-for-everyone-everywhere-activity-7407219304057815041-4gkI,"Base App is now live for everyone, everywhere. Time to join the new global economy.",2025-12-18 01:45:01,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Harmless,1.0,mixed/neutral,Medium,Harmless,1.0,mixed/neutral,0.0,0.0,0.0,0.0,0.0
https://www.linkedin.com/posts/coinbase_running-a-business-is-hard-card-fees-eat-activity-7407211761411723264-xTQd,"Running a business is hard. Card fees eat your margins, chargebacks are rising, and payment settlement takes far too long. Coinbase Business fixes this.",2025-12-18 01:15:03,43,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.0,0.0,0.0,0.0,1.0
https://www.linkedin.com/posts/coinbase_were-reimagining-financial-services-to-be-activity-7407204206970978304-_938,We’re reimagining financial services to be the best place to manage and grow your money.,2025-12-18 00:45:02,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Harmless,1.0,mixed/neutral,Medium,Harmless,1.0,mixed/neutral,0.0,0.0,0.0,0.0,0.0
https://www.linkedin.com/posts/coinbase_youve-got-hot-takes-now-youll-have-a-activity-7407196652782112769-vK4l,You’ve got hot takes - now you’ll have a place to trade them. Here’s a first look at Prediction Markets on Coinbase ↓,2025-12-18 00:15:01,57,3.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.0,0.0,0.0,0.0,0.75
https://www.linkedin.com/posts/coinbase_stock-trading-rolling-out-on-coinbase-in-activity-7407189099259928576-5gyb,Stock trading. Rolling out on Coinbase in the U.S.,2025-12-17 23:45:00,271,6.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.0,0.0,0.0,0.0,0.6
https://www.linkedin.com/posts/coinbase_87-of-americans-believe-the-financial-system-activity-7407180806789537794-uEyx,87% of Americans believe the financial system needs changing. 51% think that America’s financial system does not work fairly for everyone. It’s time for an update.,2025-12-17 23:12:03,121,2.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,High,Harmful,1.5,neg_tech>=20%;negative>=30%;critical_hostile>=25%,High,Harmful,1.5,neg_tech>=20%;negative>=30%;critical_hostile>=25%,0.3333333333333333,1.0,0.0,0.3333333333333333,0.3333333333333333
https://www.linkedin.com/posts/coinbase_a-new-era-of-coinbase-begins-tune-in-to-activity-7407134782054354944-ZMfa,Today.,2025-12-17 20:09:09,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Harmless,1.0,mixed/neutral,Medium,Harmless,1.0,mixed/neutral,0.0,0.0,0.0,0.0,0.0
https://www.linkedin.com/posts/coinbase_weve-selected-chainlink-labs-ccip-as-the-activity-7404899382027853824-scnf,"We’ve selected Chainlink Labs CCIP as the exclusive bridge provider to bring Coinbase Wrapped Assets to new blockchains. Together we’ll expand to new ecosystems, leveraging battle-hardened infrastructure. Learn more here: https://lnkd.in/eFQqN_sK",2025-12-11 16:06:29,560,16.0,0.5,0.1875,0.0625,0.0,0.1875,0.25,0.0,0.125,0.8125,High,Harmful,1.5,neg_tech>=20%,High,Harmful,1.5,neg_tech>=20%,0.15,0.2222222222222222,0.0,0.1,0.65
https://www.linkedin.com/posts/coinbase_state-of-crypto-q4-2025-activity-7406715271526383616-qUZf,"There’s a generational shift happening in investing. Younger investors are looking for new ways to build wealth. They’re actively looking beyond stocks to crypto and other non-traditional assets. In other words, the young investor is different. Read the full report to see how. ↓",2025-12-16 16:22:10,200,7.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,High,Harmful,1.5,critical_hostile>=25%,High,Harmful,1.5,critical_hostile>=25%,0.25,0.0,0.125,0.25,0.5
https://www.linkedin.com/posts/coinbase_san-francisco-weve-arrived-dont-miss-activity-7404668562545463296-4Bm8,"San Francisco, we’ve arrived. Don’t miss the Coinbase System Update.",2025-12-11 00:49:17,332,8.0,0.125,0.0,0.375,0.0,0.125,0.0,0.0,0.125,0.875,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.1111111111111111,0.0,0.0,0.1111111111111111,0.7777777777777778
https://www.linkedin.com/posts/coinbase_coinbase-institutional-is-proud-to-support-activity-7404147569125347328-YvsI,"The financial system is changing. Eligible PNC Bank Private Bank clients can now access bitcoin trading directly within their banking experience - no extra accounts, no extra friction. This is what the future of finance, built on Coinbase, looks like.",2025-12-09 14:19:02,538,26.0,0.15384615384615385,0.0,0.11538461538461539,0.038461538461538464,0.07692307692307693,0.0,0.038461538461538464,0.07692307692307693,0.9230769230769231,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.06666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.8
https://www.linkedin.com/posts/coinbase_its-time-to-bring-staking-rewards-to-maryland-activity-7403899575951966208--nzS,"It's time to bring staking rewards to Maryland. The facts: → Staking isn’t a security → It’s an easy, safe way to passively earn → Marylanders love crypto It's time to get on board. Help Maryland stake: https://lnkd.in/exRwScBU",2025-12-08 21:53:36,156,7.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.7142857142857143,High,Harmful,1.5,critical_hostile>=25%,High,Harmful,1.5,critical_hostile>=25%,0.2857142857142857,0.0,0.0,0.2857142857142857,0.7142857142857143
https://www.linkedin.com/posts/lbrock_inside-coinbases-mission-first-remote-first-activity-7404274169065938944-qQl0,"We’ve always been clear about what matters at Coinbase: our mission. That focus shows up in how we hire, how we operate, and how we build teams. We’ve designed our culture for people who care deeply about doing great work – and doing it with purpose. Our approach isn’t for everyone. And that’s the point. Culture isn’t about consensus, it’s about conviction. Thanks to Harvard Business School for studying how we’re building something different and having me on the Cold Call podcast to discuss: https://lnkd.in/eh78tVRA",2025-12-09 22:51:38,320,13.0,0.15384615384615385,0.0,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.0,0.0,0.07692307692307693,0.8461538461538461,Low,Helpful,0.0,supportive signal,Low,Helpful,0.0,supportive signal,0.07692307692307693,0.0,0.0,0.07692307692307693,0.8461538461538461
